"Path","Size","LineCount","HasFrontMatter","BodyLength","MathKeywords","Placeholder","StrongTemplate","Category","Reason"
"E:\_src\FormalMath\docs\00-全局文档索引-MSC标注报告-阶段2.md","902","48","True","100","0","False","False","C","行数多但有效内容极少，疑似注水，待重写"
"E:\_src\FormalMath\docs\00-FAQ\README.md","251","14","False","50","0","False","False","B","正文过短（<80字）且无实质数学内容"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-016-层的定义与基本操作.md","469","34","True","78","8","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-017-Abel范畴中的层.md","471","34","True","75","8","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-018-Cech上同调.md","459","34","True","73","7","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-019-导出函子与层上同调.md","481","34","True","78","8","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-020-Serre消失定理.md","467","34","True","74","6","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-021-Grothendieck消灭定理.md","481","34","True","74","6","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-022-Serre对偶性.md","470","34","True","73","5","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-023-Riemann-Roch定理.md","475","34","True","73","6","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-024-代数曲线的线性系统.md","481","34","True","78","6","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-025-典范嵌入与超椭圆曲线.md","487","34","True","79","5","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-026-曲线的模空间Mg.md","474","34","True","76","9","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-027-Jacobi簇与Abel映射.md","473","34","True","75","7","True","True","B","强模板化占位内容（无实质数学推导）"
"E:\_src\FormalMath\docs\00-习题示例反例库\代数几何\AG-028-曲线的分类理论.md","478","34","True","76","5","True","True","B","强模板化占位内容（无实质数学推导）"
