source_file,source_branch,link_text,link_path,target_path,target_branch,exists
docs\00-交叉引用完善报告.md,docs,集合,./visualizations/思维导图/概念/开集.md,docs\visualizations\思维导图\概念\开集.md,docs,True
docs\00-交叉引用完善报告.md,docs,二元运算,./../ref/Books/AbstractAlgebra/Alcock L. How to Think About Abstract Algebra 2021/01-核心概念/02-二元运算.md,ref\Books\AbstractAlgebra\Alcock L. How to Think About Abstract Algebra 2021\01-核心概念\02-二元运算.md,ref,True
docs\00-交叉引用完善报告.md,docs,等价关系,./visualizations/思维导图/概念/同伦等价.md,docs\visualizations\思维导图\概念\同伦等价.md,docs,True
docs\00-交叉引用完善报告.md,docs,环,./visualizations/思维导图/概念/环.md,docs\visualizations\思维导图\概念\环.md,docs,True
docs\00-交叉引用完善报告.md,docs,半群,./i18n/ja/core/群.md,docs\i18n\ja\core\群.md,docs,True
docs\00-交叉引用完善报告.md,docs,子群,./visualizations/思维导图/概念/子群.md,docs\visualizations\思维导图\概念\子群.md,docs,True
docs\00-交叉引用完善报告.md,docs,群同态,./visualizations/思维导图/概念/群同态.md,docs\visualizations\思维导图\概念\群同态.md,docs,True
docs\00-交叉引用完善报告.md,docs,群表示,./visualizations/思维导图/概念/表示论.md,docs\visualizations\思维导图\概念\表示论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,13.1 代数几何基础 / Algebraic Geometry Foundations,./02-代数结构/02-核心理论/代数几何/01-代数几何基础.md,docs\02-代数结构\02-核心理论\代数几何\01-代数几何基础.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,13.2 代数几何增强版 / Algebraic Geometry Enhanced,./02-代数结构/02-核心理论/代数几何/02-代数几何增强版.md,docs\02-代数结构\02-核心理论\代数几何\02-代数几何增强版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,13.3 代数几何深度扩展版 / Algebraic Geometry Deep Extension,./02-代数结构/02-核心理论/代数几何/03-代数几何深度扩展版.md,docs\02-代数结构\02-核心理论\代数几何\03-代数几何深度扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Lean4形式化实现-代数几何 / Lean 4 Formalization - Algebraic Geometry,./02-代数结构/02-核心理论/代数几何/Lean4形式化实现-代数几何.md,docs\02-代数结构\02-核心理论\代数几何\Lean4形式化实现-代数几何.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数几何应用案例-深度扩展版 / Algebraic Geometry Applications - Deep Extension,./02-代数结构/02-核心理论/代数几何/代数几何应用案例-深度扩展版.md,docs\02-代数结构\02-核心理论\代数几何\代数几何应用案例-深度扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,16.1 表示论基础 / Representation Theory Foundations,./02-代数结构/02-核心理论/表示论/01-表示论基础.md,docs\02-代数结构\02-核心理论\表示论\01-表示论基础.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,16.2 表示论增强版 / Representation Theory Enhanced,./02-代数结构/02-核心理论/表示论/02-表示论增强版.md,docs\02-代数结构\02-核心理论\表示论\02-表示论增强版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,2.1 群论 / Group Theory,./02-代数结构/02-核心理论/群论/01-群论.md,docs\02-代数结构\02-核心理论\群论\01-群论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,2.1 群论 / Group Theory,./02-代数结构/02-核心理论/群论/01-群论-国际标准深度扩展版.md,docs\02-代数结构\02-核心理论\群论\01-群论-国际标准深度扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,2.2 化学中的群论应用,./02-代数结构/03-应用分析/群论应用/02-群论应用-物理化学版.md,docs\02-代数结构\03-应用分析\群论应用\02-群论应用-物理化学版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,2.2 环论 / Ring Theory,./02-代数结构/02-核心理论/环论/02-环论.md,docs\02-代数结构\02-核心理论\环论\02-环论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,2.2 环论 / Ring Theory,./02-代数结构/02-核心理论/环论/01-环论-国际标准深度扩展版.md,docs\02-代数结构\02-核心理论\环论\01-环论-国际标准深度扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,2.3 域论 / Field Theory,./02-代数结构/02-核心理论/域论/01-域论-国际标准深度扩展版.md,docs\02-代数结构\02-核心理论\域论\01-域论-国际标准深度扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,4.1 基础群论密码学,./02-代数结构/03-应用分析/群论应用/04-群论应用-密码学版.md,docs\02-代数结构\03-应用分析\群论应用\04-群论应用-密码学版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,5. 李代数 / Lie Algebras,./02-代数结构/02-核心理论/李代数/01-李代数-国际标准深度扩展版.md,docs\02-代数结构\02-核心理论\李代数\01-李代数-国际标准深度扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Lean4形式化实现：李代数 / Lean4 Formalization: Lie Algebras,./02-代数结构/05-形式化实现/李代数/06-Lean4形式化实现-李代数.md,docs\02-代数结构\05-形式化实现\李代数\06-Lean4形式化实现-李代数.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Lean4形式化实现：域论 / Lean4 Formalization: Field Theory,./02-代数结构/05-形式化实现/域论/06-Lean4形式化实现-域论.md,docs\02-代数结构\05-形式化实现\域论\06-Lean4形式化实现-域论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Lean4形式化实现-环论 - 国际标准版,./02-代数结构/05-形式化实现/环论/06-Lean4形式化实现-环论.md,docs\02-代数结构\05-形式化实现\环论\06-Lean4形式化实现-环论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Lean4形式化实现-模论 / Lean 4 Formalization - Module Theory,./02-代数结构/05-形式化实现/模论/06-Lean4形式化实现-模论.md,docs\02-代数结构\05-形式化实现\模论\06-Lean4形式化实现-模论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Lean4形式化实现-群论 / Lean4 Formalization of Group Theory,./02-代数结构/05-形式化实现/群论/06-Lean4形式化实现-群论.md,docs\02-代数结构\05-形式化实现\群论\06-Lean4形式化实现-群论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,Python实现：李代数算法 / Python Implementation: Lie Algebra Algorithms,./02-代数结构/06-技术实现参考/Python实现/李代数/07-Python实现-李代数算法.md,docs\02-代数结构\06-技术实现参考\Python实现\李代数\07-Python实现-李代数算法.md,UNKNOWN,False
docs\00-全局文档索引-2025年12月.md,docs,Python实现：域论算法 / Python Implementation: Field Theory Algorithms,./02-代数结构/06-技术实现参考/Python实现/域论/07-Python实现-域论算法.md,docs\02-代数结构\06-技术实现参考\Python实现\域论\07-Python实现-域论算法.md,UNKNOWN,False
docs\00-全局文档索引-2025年12月.md,docs,Python实现-模论算法 - 国际标准版,./02-代数结构/06-技术实现参考/Python实现/模论/07-Python实现-模论算法.md,docs\02-代数结构\06-技术实现参考\Python实现\模论\07-Python实现-模论算法.md,UNKNOWN,False
docs\00-全局文档索引-2025年12月.md,docs,ZFC到抽象代数结构完整论证 - 国际标准版,./02-代数结构/01-理论基础/01-ZFC到抽象代数结构完整论证-国际标准版.md,docs\02-代数结构\01-理论基础\01-ZFC到抽象代数结构完整论证-国际标准版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,ZFC公理体系到抽象代数结构 - 基础理论,./02-代数结构/01-理论基础/ZFC公理体系到抽象代数结构-基础理论.md,docs\02-代数结构\01-理论基础\ZFC公理体系到抽象代数结构-基础理论.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,表示论算法Python实现 - 国际标准版,./02-代数结构/06-技术实现参考/Python实现/表示论/07-Python实现-表示论算法.md,docs\02-代数结构\06-技术实现参考\Python实现\表示论\07-Python实现-表示论算法.md,UNKNOWN,False
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构分析项目启动执行指南,./02-代数结构/07-项目文档/项目总览/项目启动执行指南.md,docs\02-代数结构\07-项目文档\项目总览\项目启动执行指南.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构分析执行计划 - 详细版,./02-代数结构/07-项目文档/项目总览/抽象代数结构分析执行计划-详细版.md,docs\02-代数结构\07-项目文档\项目总览\抽象代数结构分析执行计划-详细版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构全面分析计划 - 2025年1月,./02-代数结构/07-项目文档/项目总览/抽象代数结构全面分析计划-2025年1月.md,docs\02-代数结构\07-项目文档\项目总览\抽象代数结构全面分析计划-2025年1月.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构全面分析项目100%完成确认书,./02-代数结构/07-项目文档/总结报告/项目100%完成确认书.md,docs\02-代数结构\07-项目文档\总结报告\项目100%完成确认书.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构全面分析项目完成报告 - 最终版,./02-代数结构/07-项目文档/总结报告/项目完成报告-最终版.md,docs\02-代数结构\07-项目文档\总结报告\项目完成报告-最终版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构全面分析项目完成状态报告,./02-代数结构/07-项目文档/总结报告/项目完成状态报告.md,docs\02-代数结构\07-项目文档\总结报告\项目完成状态报告.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,抽象代数结构全面分析项目最终总结,./02-代数结构/07-项目文档/总结报告/抽象代数结构全面分析项目最终总结.md,docs\02-代数结构\07-项目文档\总结报告\抽象代数结构全面分析项目最终总结.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数几何应用案例库-深化扩展版,./02-代数结构/03-应用分析/综合应用/代数几何应用案例库-深化扩展版.md,docs\02-代数结构\03-应用分析\综合应用\代数几何应用案例库-深化扩展版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数结构Python实现综合工具 - 国际标准版,./02-代数结构/06-技术实现参考/Python实现/01-Python实现-代数结构综合工具.md,docs\02-代数结构\06-技术实现参考\Python实现\01-Python实现-代数结构综合工具.md,UNKNOWN,False
docs\00-全局文档索引-2025年12月.md,docs,代数结构多表征方式与图建模完善总结,./02-代数结构/01-理论基础/代数结构多表征方式与图建模完善总结.md,docs\02-代数结构\01-理论基础\代数结构多表征方式与图建模完善总结.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数结构论证体系总结 - 国际标准版,./01-基础数学/序关系论证体系/00-总结报告-国际标准版.md,docs\01-基础数学\序关系论证体系\00-总结报告-国际标准版.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数结构知识梳理与全面分析项目,./README.md,docs\README.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数结构知识梳理与全面分析项目,./README.md,docs\README.md,docs,True
docs\00-全局文档索引-2025年12月.md,docs,代数结构知识梳理与全面分析项目文档索引,./02-代数结构/00-项目总览/00-文档索引.md,docs\02-代数结构\00-项目总览\00-文档索引.md,docs,True
